Fecha;ConsumoTotal;Consumo
2018-01-25;1280;2.95102013661167
2018-01-26;1290;2.97407498142895
2018-01-27;0;0
2018-01-28;10;0.0230548448172787
2018-01-29;1270;2.92796529179439
2018-01-30;1260;2.90491044697711
2018-01-31;1270;2.92796529179439
2018-02-01;1260;2.90491044697711
2018-02-02;1280;2.95102013661167
2018-02-03;0;0
2018-02-04;10;0.0230548448172787
2018-02-05;1290;2.97407498142895
2018-02-06;1260;2.90491044697711
2018-02-07;1290;2.97407498142895
2018-02-08;2010;4.63402380827301
2018-02-09;1260;2.90491044697711
2018-02-10;0;0
2018-02-11;20;0.0461096896345573
2018-02-12;1280;2.95102013661167
2018-02-13;1280;2.95102013661167
2018-02-14;1290;2.97407498142895
2018-02-15;1270;2.92796529179439
2018-02-16;1260;2.90491044697711
2018-02-17;0;0
2018-02-18;10;0.0230548448172787
2018-02-19;1260;2.90491044697711
2018-02-20;1250;2.88185560215983
2018-02-21;1270;2.92796529179439
2018-02-22;1260;2.90491044697711
2018-02-23;1290;2.97407498142895
2018-02-24;0;0
2018-02-25;10;0.0230548448172787
2018-02-26;878.797041452956;2.02605294165815
2018-02-27;1051.00830822228;2.42308334477352
2018-02-28;1051.00830822228;2.42308334477352
2018-03-01;1051.00830822205;2.42308334477299
2018-03-02;1051.00830822228;2.42308334477352
2018-03-03;1051.00830822228;2.42308334477352
2018-03-04;226.161417435855;0.521411638263941
2018-03-05;1280;2.95102013661167
2018-03-06;1260;2.90491044697711
2018-03-07;1290;2.97407498142895
2018-03-08;1280;2.95102013661167
2018-03-09;1280;2.95102013661167
2018-03-10;40;0.0922193792691146
2018-03-11;10;0.0230548448172787
2018-03-12;10;0.0230548448172787
2018-03-13;10;0.0230548448172787
2018-03-14;10;0.0230548448172787
2018-03-15;10;0.0230548448172787
2018-03-16;0;0
2018-03-17;10;0.0230548448172787
2018-03-18;0;0
2018-03-19;10;0.0230548448172787
2018-03-20;0;0
2018-03-21;10;0.0230548448172787
2018-03-22;10;0.0230548448172787
2018-03-23;0;0
2018-03-24;10;0.0230548448172787
2018-03-25;0;0
2018-03-26;10;0.0230548448172787
2018-03-27;0;0
2018-03-28;10;0.0230548448172787
2018-03-29;0;0
2018-03-30;10;0.0230548448172787
2018-03-31;0;0
2018-04-01;0;0
2018-04-02;10;0.0230548448172787
2018-04-03;0;0
2018-04-04;0;0
2018-04-05;10;0.0230548448172787
2018-04-06;0;0
2018-04-07;0;0
2018-04-08;10;0.0230548448172787
2018-04-09;0;0
2018-04-10;0;0
2018-04-11;10;0.0230548448172787
2018-04-12;0;0
2018-04-13;0;0
2018-04-14;0;0
2018-04-15;0;0
2018-04-16;0;0
2018-04-17;0;0
2018-04-18;0;0
2018-04-19;10;0.0230548448172787
2018-04-20;1570;3.61961063631275
2018-04-21;10;0.0230548448172787
2018-04-22;0;0
2018-04-23;900;2.07493603355508
2018-04-24;0;0
2018-04-25;0;0
2018-04-26;0;0
2018-04-27;0;0
2018-04-28;0;0
2018-04-29;0;0
2018-04-30;1540;3.55044610186091
2018-05-01;1360;3.1354588951499
2018-05-02;1380;3.18156858478445
2018-05-03;1380;3.18156858478445
2018-05-04;1360;3.1354588951499
2018-05-05;1330;3.06629436069806
2018-05-06;10;0.0230548448172787
2018-05-07;1400;3.22767827441901
2018-05-08;2010;4.63402380827301
2018-05-09;2020;4.65707865309029
2018-05-10;2010;4.63402380827301
2018-05-11;2000;4.61096896345573
2018-05-12;0;0
2018-05-13;10;0.0230548448172787
2018-05-14;2010;4.63402380827301
2018-05-15;2010;4.63402380827301
2018-05-16;2020;4.65707865309029
2018-05-17;2000;4.61096896345573
