Fecha;NDVI.clear_sky.Min;NDVI.clear_sky.Q1;NDVI.clear_sky.Median;NDVI.clear_sky.Mean;NDVI.clear_sky.Q3;NDVI.clear_sky.Max;NDVI.clear_sky.n
2021-02-14;0.366019755601883;0.366019755601883;0.366019755601883;0.366019755601883;0.366019755601883;0.366019755601883;1
2021-02-19;0.299383729696274;0.299383729696274;0.299383729696274;0.299383729696274;0.299383729696274;0.299383729696274;1
2021-02-24;;;;;;;0
2021-03-01;;;;;;;0
2021-03-06;;;;;;;0
2021-03-11;0.324530929327011;0.324530929327011;0.324530929327011;0.324530929327011;0.324530929327011;0.324530929327011;1
2021-03-16;0.458531945943832;0.458531945943832;0.458531945943832;0.458531945943832;0.458531945943832;0.458531945943832;1
2021-03-21;0.287945777177811;0.287945777177811;0.287945777177811;0.287945777177811;0.287945777177811;0.287945777177811;1
2021-03-26;;;;;;;0
2021-04-10;;;;;;;0
2021-04-15;;;;;;;0
2021-04-20;0.413024097681046;0.413024097681046;0.413024097681046;0.413024097681046;0.413024097681046;0.413024097681046;1
