"Contrato";"Fecha_Min";"Fecha_Max";"Tiempo_Min";"Tiempo_Mean";"Tiempo_Max";"Consumo_Min";"Consumo_Max"
"6605391";2017-09-29;2022-02-10;2;8528;14126088;-14164456;33047
"6605396";2017-09-30;2022-02-10;1648;5508;21102450;-2;4030013
"6606317";2017-09-29;2022-02-09;3594;6783;133195;-2879304;15110
"6606724";2017-11-02;2021-07-02;3596;5569;521987;0;115670
"6611136";2017-09-29;2022-02-10;3257;4351;694813;-10;433310
"6617012";2017-09-29;2022-02-10;3476;5263;694779;0;10521
"6617017";2017-09-29;2022-02-10;2368;3718;694810;0;89400
"6617582";2017-09-29;2022-02-10;3449;6739;709211;0;38950
"6617583";2017-09-29;2022-02-10;3472;5430;694819;0;33170
"6619213";2017-09-29;2022-02-10;3600;173942;1706368;0;895
"6619762";2017-09-29;2022-02-10;3236;9722;752377;0;95580
"6620509";2017-09-29;2022-02-10;3596;5382;694786;0;3567
"6620670";2020-06-13;2022-02-10;3588;45471;3873511;0;826
"6620685";2017-09-29;2022-02-10;3082;3800;694809;0;217330
"6621311";2017-09-29;2022-02-10;2389;11864;593988;-711;75747
"6626209";2017-09-29;2022-02-10;60;1973;1409610;-860;964870
"6629187";2017-09-29;2022-02-10;2476;4252;694810;-14575350;74230
"6630537";2017-09-29;2022-02-10;3014;3972;694807;-10;63170
"6632651";2017-09-29;2022-02-10;2519;4446;1860575;0;354207
"6635588";2017-09-29;2021-06-08;2535;5015;723581;0;275660
"6635590";2017-09-29;2022-01-25;3515;64183;2134743;0;97050
"6636324";2017-09-29;2022-02-10;2352;3822;694805;-20;120820
"6636326";2017-09-29;2022-02-10;3114;3755;694815;-125190300;1434650
"6647357";2017-09-29;2022-02-10;3593;4818;1256391;0;8628111
