"Group";"N";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"6560222";1;9;0.09857318450577;0.530588341037592;0.0241687807018789;0.155463116853738;0.559486091557894;0.277867706095873;0.579999999999927;0.0300000000000011;1.13999999999987
"6560222";1;10;0.0963985653795471;0.531932924632183;0.0243059526581787;0.155903664672062;0.559486091557894;0.278655121234465;0.619999999999891;0.0200000000000031;1.15000000000009
"6560222";1;11;0.0990143891587881;0.526747404754305;0.0242698026634077;0.15578768456912;0.559486091557894;0.278447823672128;0.579999999999927;0;1.16000000000031
"6560222";1;12;0.0994826698448435;0.530878642153529;0.0250702577571519;0.158335901668421;0.559486091557894;0.283002391046994;0.589999999999918;0;1.24000000000024
"6560222";1;13;0.101766159830053;0.53331993479042;0.0250995504090284;0.15842837627467;0.559486091557894;0.283167675953346;0.670000000000073;0.00999999999999801;1.23000000000002
"6560222";1;14;0.112993934891428;0.560083178147034;0.0275413120444935;0.165955753273255;0.559486091557894;0.296621767327852;0.650000000000091;0;1.27999999999975
"6560222";1;15;0.11468164857544;0.557405583512759;0.0278373373428862;0.166845249686307;0.559486091557894;0.298211612770793;0.560000000000173;0.0499999999999972;1.28999999999996
"6560222";1;16;0.109525850252291;0.575676908449893;0.0291160318994981;0.170634204951698;0.559486091557894;0.304983819126881;0.620000000000118;0;1.34999999999991
"6560231";1;0;NA;NA;NA;NA;NA;NA;0.690000000000055;0;1.17000000000007
"6560231";1;1;NA;NA;NA;NA;NA;NA;0.779999999999973;0.0300000000000011;1.07000000000016
"6560231";1;2;NA;NA;NA;NA;NA;NA;0.700000000000046;0.0300000000000011;1.11000000000013
"6560231";1;3;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.13000000000011
"6560231";1;4;NA;NA;NA;NA;NA;NA;0.670000000000073;0.0599999999999952;1.15999999999985
"6560231";1;5;NA;NA;NA;NA;NA;NA;0.75;0.0200000000000031;1.11000000000013
"6560231";1;6;NA;NA;NA;NA;NA;NA;0.700000000000046;0.00999999999999801;1.11000000000013
"6560231";1;7;NA;NA;NA;NA;NA;NA;0.730000000000018;0.0300000000000011;1.13999999999987
"6560231";1;8;NA;NA;NA;NA;NA;NA;0.690000000000055;0.0499999999999972;1.15999999999985
"6560231";1;9;NA;NA;NA;NA;NA;NA;0.779999999999973;0;1.16000000000031
"6560231";1;10;NA;NA;NA;NA;NA;NA;0.700000000000046;0.0300000000000011;1.13000000000011
"6560231";1;11;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.14000000000033
"6560231";1;12;NA;NA;NA;NA;NA;NA;0.710000000000036;0.0300000000000011;1.13999999999987
"6560231";1;13;NA;NA;NA;NA;NA;NA;0.720000000000027;0.00999999999999801;1.15000000000009
"6560231";1;14;NA;NA;NA;NA;NA;NA;0.730000000000018;0.0499999999999972;1.18000000000029
"6560231";1;15;NA;NA;NA;NA;NA;NA;0.75;0.0200000000000031;1.17000000000007
"6560231";1;16;NA;NA;NA;NA;NA;NA;0.730000000000018;0.00999999999999801;1.19999999999982
"6564834";1;0;NA;NA;NA;NA;NA;NA;0.740000000000009;0;1.17000000000007
"6564834";1;1;NA;NA;NA;NA;NA;NA;0.75;0.0200000000000031;1.09999999999991
"6564834";1;2;NA;NA;NA;NA;NA;NA;0.669999999999845;0.00999999999999801;1.08999999999969
"6564834";1;3;NA;NA;NA;NA;NA;NA;0.720000000000027;0;1.10999999999967
"6564834";1;4;NA;NA;NA;NA;NA;NA;0.730000000000018;0.0200000000000031;1.11999999999989
"6564834";1;5;NA;NA;NA;NA;NA;NA;0.740000000000009;0.00999999999999801;1.13999999999987
"6564834";1;6;NA;NA;NA;NA;NA;NA;0.700000000000046;0.0200000000000031;1.13999999999987
"6564834";1;7;NA;NA;NA;NA;NA;NA;0.710000000000036;0.0399999999999991;1.11000000000013
"6564834";1;8;NA;NA;NA;NA;NA;NA;0.670000000000073;0.0499999999999972;1.11000000000013
"6564834";1;9;NA;NA;NA;NA;NA;NA;0.730000000000018;0.0300000000000011;1.15000000000009
"6564834";1;10;NA;NA;NA;NA;NA;NA;0.75;0.0300000000000011;1.17000000000007
"6564834";1;11;NA;NA;NA;NA;NA;NA;0.690000000000055;0.0200000000000031;1.15999999999985
"6564834";1;12;NA;NA;NA;NA;NA;NA;0.75;0.0499999999999972;1.16999999999962
"6564834";1;13;NA;NA;NA;NA;NA;NA;0.769999999999982;0;1.21000000000004
"6564834";1;14;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.17999999999984
"6564834";1;15;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.17999999999984
"6564834";1;16;NA;NA;NA;NA;NA;NA;0.730000000000018;0.00999999999999801;1.19000000000005
"6566575";1;0;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.19999999999982
"6566575";1;1;NA;NA;NA;NA;NA;NA;0.740000000000009;0.0300000000000011;1.10000000000036
"6566575";1;2;NA;NA;NA;NA;NA;NA;0.690000000000055;0.00999999999999801;1.11000000000013
"6566575";1;3;NA;NA;NA;NA;NA;NA;0.709999999999809;0.0200000000000031;1.11000000000013
"6566575";1;4;NA;NA;NA;NA;NA;NA;0.700000000000046;0.029999999999994;1.13000000000011
"6566575";1;5;NA;NA;NA;NA;NA;NA;0.740000000000009;0.0300000000000011;1.14000000000033
"6566575";1;6;NA;NA;NA;NA;NA;NA;0.730000000000018;0;1.11000000000013
"6566575";1;7;NA;NA;NA;NA;NA;NA;0.880000000000109;0.0300000000000011;1.26000000000022
"6566575";1;8;NA;NA;NA;NA;NA;NA;0.699999999999818;0.0300000000000011;1.13999999999987
"6566575";1;9;NA;NA;NA;NA;NA;NA;0.700000000000046;0.0499999999999972;1.4699999999998
"6566575";1;10;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.13999999999987
"6566575";1;11;NA;NA;NA;NA;NA;NA;0.75;0.0200000000000031;1.24000000000024
"6566575";1;12;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.19000000000005
"6566575";1;13;NA;NA;NA;NA;NA;NA;0.690000000000055;0;1.15999999999985
"6566575";1;14;NA;NA;NA;NA;NA;NA;0.680000000000064;0.00999999999999801;1.19000000000005
"6566575";1;15;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.21000000000004
"6566575";1;16;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.20000000000027
"6587228";1;0;NA;NA;NA;NA;NA;NA;0.690000000000055;0.0300000000000011;1.24000000000024
"6587228";1;1;NA;NA;NA;NA;NA;NA;0.75;0.0399999999999991;1.09999999999991
"6587228";1;2;NA;NA;NA;NA;NA;NA;0.720000000000027;0.00999999999999801;1.11000000000013
"6587228";1;3;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.11999999999989
"6587228";1;4;NA;NA;NA;NA;NA;NA;0.75;0;1.10999999999967
"6587228";1;5;NA;NA;NA;NA;NA;NA;0.75;0.00999999999999801;1.12999999999965
"6587228";1;6;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.13999999999987
"6587228";1;7;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.14000000000033
"6587228";1;8;NA;NA;NA;NA;NA;NA;0.740000000000009;0.00999999999999801;1.13999999999987
"6587228";1;9;NA;NA;NA;NA;NA;NA;0.699999999999818;0.0399999999999991;1.17000000000007
"6587228";1;10;NA;NA;NA;NA;NA;NA;0.75;0.00999999999999801;1.15999999999985
"6587228";1;11;NA;NA;NA;NA;NA;NA;0.75;0.0300000000000011;1.15000000000009
"6587228";1;12;NA;NA;NA;NA;NA;NA;0.710000000000036;0.0200000000000031;1.21000000000004
"6587228";1;13;NA;NA;NA;NA;NA;NA;0.75;0.0399999999999991;1.19000000000005
"6587228";1;14;NA;NA;NA;NA;NA;NA;0.740000000000009;0.019999999999996;1.17000000000007
"6587228";1;15;NA;NA;NA;NA;NA;NA;0.75;0;1.19000000000005
"6587228";1;16;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.19999999999982
"6587395";1;0;0.0390083202009535;0.130379464465757;0.00218428340980357;0.0467363178888064;0.304031763448782;0.153721826162679;0.629999999999882;0;1.32000000000016
"6587395";1;1;0.0425602945535123;0.13619166678377;0.00252068513800288;0.0502064252661238;0.304031763448782;0.165135460507835;0.589999999999918;0;0.889999999999873
"6587395";1;2;0.0423795800078142;0.135310980544671;0.00246014635471734;0.0495998624465566;0.304031763448782;0.163140396529366;0.6099999999999;0.0200000000000031;0.960000000000036
"6587395";1;3;0.0445457745956262;0.14315834295502;0.00301701029594576;0.0549273183028788;0.304031763448782;0.180663091513239;0.619999999999891;0;0.970000000000255
"6587395";1;4;0.0423680427912513;0.133478718329165;0.00297160640734557;0.0545124426837174;0.304031763448782;0.179298511659952;0.599999999999909;0;1
"6587395";1;5;0.0437587710429331;0.139495195326573;0.00291962728480243;0.0540335755322783;0.304031763448782;0.177723455336866;0.659999999999855;0.00999999999999801;1.0300000000002
"6587395";1;6;0.046793577930165;0.14923713277188;0.00325890983010816;0.0570868621497815;0.304031763448782;0.187766112008223;0.659999999999855;0.0200000000000031;1.08999999999969
"6587395";1;7;0.0424259192761669;0.135813670123089;0.00280129730084261;0.0529272831424646;0.304031763448782;0.174084715827334;0.6400000000001;0.0300000000000011;1.09000000000015
"6587395";1;8;0.0420953950348939;0.134841994505613;0.00276817951519043;0.0526134917601031;0.304031763448782;0.173052615171791;0.6400000000001;0.029999999999994;1.13000000000011
"6587395";1;9;0.0392018123461239;0.126087575974878;0.00267923091731757;0.0517612878251457;0.304031763448782;0.170249605626701;0.630000000000109;0.0200000000000031;1.13999999999987
"6587395";1;10;0.045807946244467;0.149069000822188;0.00326768303292604;0.0571636513260485;0.304031763448782;0.188018681593045;0.6400000000001;0;1.21000000000004
"6587395";1;11;0.0415822958122606;0.132443579396378;0.00278695284194553;0.0527915982135939;0.304031763448782;0.17363843045461;0.620000000000118;0.00999999999999801;1.19999999999982
"6587395";1;12;0.0442372450481434;0.140807961817675;0.00307032844901364;0.0554105445652147;0.304031763448782;0.182252485518834;0.600000000000136;0.0200000000000031;1.2199999999998
"6587395";1;13;0.0468054802869122;0.148263176124279;0.00361455070930734;0.0601211336329193;0.304031763448782;0.197746225430315;0.610000000000127;0.00999999999999801;1.25
"6587395";1;14;0.0453682685231665;0.145559929158453;0.00354164764921988;0.059511743792464;0.304031763448782;0.195741863012578;0.610000000000127;0.0300000000000011;1.29999999999973
"6587395";1;15;0.0439500779517737;0.138627664971627;0.00334189869877103;0.0578091575684254;0.304031763448782;0.190141835552534;0.660000000000082;0.0200000000000031;1.33000000000038
"6587395";1;16;0.046732125158156;0.148216928728735;0.00342561272460229;0.0585287341790534;0.304031763448782;0.192508616583784;0.649999999999864;0.00999999999999801;1.40000000000009
"6595270";1;0;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.19999999999982
"6595270";1;1;NA;NA;NA;NA;NA;NA;0.779999999999973;0.0500000000000043;1.08999999999969
"6595270";1;2;NA;NA;NA;NA;NA;NA;0.720000000000027;0;1.07999999999993
"6595270";1;3;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0300000000000011;1.11000000000013
"6595270";1;4;NA;NA;NA;NA;NA;NA;0.740000000000009;0.029999999999994;1.11999999999989
"6595270";1;5;NA;NA;NA;NA;NA;NA;0.660000000000082;0.0300000000000011;1.13000000000011
"6595270";1;6;NA;NA;NA;NA;NA;NA;0.7199999999998;0.0300000000000011;1.14000000000033
"6595270";1;7;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.11999999999989
"6595270";1;8;NA;NA;NA;NA;NA;NA;0.720000000000027;0;1.14000000000033
"6595270";1;9;NA;NA;NA;NA;NA;NA;0.670000000000073;0.00999999999999801;1.15999999999985
"6595270";1;10;NA;NA;NA;NA;NA;NA;0.690000000000055;0.0200000000000031;1.13999999999987
"6595270";1;11;NA;NA;NA;NA;NA;NA;0.740000000000009;0.029999999999994;1.15999999999985
"6595270";1;12;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.16000000000031
"6595270";1;13;NA;NA;NA;NA;NA;NA;0.7199999999998;0.00999999999999801;1.19000000000005
"6595270";1;14;NA;NA;NA;NA;NA;NA;0.75;0.0200000000000031;1.16999999999962
"6595270";1;15;NA;NA;NA;NA;NA;NA;0.699999999999818;0.0300000000000011;1.19000000000005
"6595270";1;16;NA;NA;NA;NA;NA;NA;0.690000000000055;0.029999999999994;1.19999999999982
"6596867";1;0;NA;NA;NA;NA;NA;NA;0.729999999999791;0.00999999999999801;1.19000000000005
"6596867";1;1;NA;NA;NA;NA;NA;NA;0.680000000000064;0;1.09999999999991
"6596867";1;2;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.09000000000015
"6596867";1;3;NA;NA;NA;NA;NA;NA;0.799999999999955;0;1.11000000000013
"6596867";1;4;NA;NA;NA;NA;NA;NA;0.75;0;1.11000000000013
"6596867";1;5;NA;NA;NA;NA;NA;NA;0.730000000000018;0.0300000000000011;1.11000000000013
"6596867";1;6;NA;NA;NA;NA;NA;NA;0.7199999999998;0.0399999999999991;1.11000000000013
"6596867";1;7;NA;NA;NA;NA;NA;NA;0.730000000000018;0.019999999999996;1.13999999999987
"6596867";1;8;NA;NA;NA;NA;NA;NA;0.7199999999998;0.0200000000000031;1.13000000000011
"6596867";1;9;NA;NA;NA;NA;NA;NA;0.769999999999982;0;1.15000000000009
"6596867";1;10;NA;NA;NA;NA;NA;NA;0.740000000000009;0.0300000000000011;1.15999999999985
"6596867";1;11;NA;NA;NA;NA;NA;NA;0.840000000000146;0.00999999999999801;1.15000000000009
"6596867";1;12;NA;NA;NA;NA;NA;NA;0.960000000000036;0.0200000000000031;1.36000000000013
"6596867";1;13;NA;NA;NA;NA;NA;NA;0.759999999999991;0;1.21000000000004
"6596867";1;14;NA;NA;NA;NA;NA;NA;0.730000000000018;0.029999999999994;1.19000000000005
"6596867";1;15;NA;NA;NA;NA;NA;NA;0.699999999999818;0.0300000000000011;1.17999999999984
"6596867";1;16;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.18000000000029
"6598500";1;0;NA;NA;NA;NA;NA;NA;0.779999999999973;0;1.19000000000005
"6598500";1;1;NA;NA;NA;NA;NA;NA;0.75;0;1.09999999999991
"6598500";1;2;NA;NA;NA;NA;NA;NA;0.690000000000055;0;1.07999999999993
"6598500";1;3;NA;NA;NA;NA;NA;NA;0.720000000000027;0;1.06999999999971
"6598500";1;4;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0300000000000011;1.08999999999969
"6598500";1;5;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.10999999999967
"6598500";1;6;NA;NA;NA;NA;NA;NA;0.779999999999973;0.0300000000000011;1.10999999999967
"6598500";1;7;NA;NA;NA;NA;NA;NA;0.710000000000036;0.0700000000000003;1.13999999999987
"6598500";1;8;NA;NA;NA;NA;NA;NA;0.779999999999973;0;1.13999999999987
"6598500";1;9;NA;NA;NA;NA;NA;NA;0.690000000000055;0.0300000000000011;1.11999999999989
"6598500";1;10;NA;NA;NA;NA;NA;NA;0.75;0.00999999999999801;1.16000000000031
"6598500";1;11;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.16000000000031
"6598500";1;12;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.15999999999985
"6598500";1;13;NA;NA;NA;NA;NA;NA;0.779999999999973;0;1.16999999999962
"6598500";1;14;NA;NA;NA;NA;NA;NA;0.75;0.0200000000000031;1.19000000000005
"6598500";1;15;NA;NA;NA;NA;NA;NA;0.709999999999809;0.00999999999999801;1.21000000000004
"6598500";1;16;NA;NA;NA;NA;NA;NA;0.75;0;1.17000000000007
"6598925";1;0;NA;NA;NA;NA;NA;NA;0.710000000000036;0.0399999999999991;1.19999999999982
"6598925";1;1;NA;NA;NA;NA;NA;NA;0.700000000000046;0;1.05999999999995
"6598925";1;2;NA;NA;NA;NA;NA;NA;0.740000000000009;0.00999999999999801;1.13999999999987
"6598925";1;3;NA;NA;NA;NA;NA;NA;0.700000000000046;0.0300000000000011;1.11999999999989
"6598925";1;4;NA;NA;NA;NA;NA;NA;0.730000000000018;0;1.12999999999965
"6598925";1;5;NA;NA;NA;NA;NA;NA;0.680000000000064;0.0200000000000031;1.10999999999967
"6598925";1;6;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0399999999999991;1.23000000000002
"6598925";1;7;NA;NA;NA;NA;NA;NA;0.75;0.0399999999999991;1.14000000000033
"6598925";1;8;NA;NA;NA;NA;NA;NA;0.769999999999982;0.00999999999999801;1.19000000000005
"6598925";1;9;NA;NA;NA;NA;NA;NA;0.680000000000064;0.0200000000000031;1.15000000000009
"6598925";1;10;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0399999999999991;1.15000000000009
"6598925";1;11;NA;NA;NA;NA;NA;NA;0.710000000000036;0.019999999999996;1.15000000000009
"6598925";1;12;NA;NA;NA;NA;NA;NA;0.720000000000027;0.0200000000000031;1.15999999999985
"6598925";1;13;NA;NA;NA;NA;NA;NA;0.710000000000036;0;1.15999999999985
"6598925";1;14;NA;NA;NA;NA;NA;NA;0.830000000000155;0.0200000000000031;1.2199999999998
"6598925";1;15;NA;NA;NA;NA;NA;NA;0.75;0.00999999999999801;1.19000000000005
"6598925";1;16;NA;NA;NA;NA;NA;NA;0.779999999999973;0.0300000000000011;1.2199999999998
"6598940";1;0;0.0623584242310245;0.127096443816815;0.00553884402074916;0.0744234104348165;0.509745208919048;0.146001196544126;0.6099999999999;0.0200000000000031;1.19999999999982
"6598940";1;1;0.0519310561744845;0.105243000858529;0.00414541373193666;0.0643848874499029;0.509745208919048;0.126307979601095;0.599999999999909;0.00999999999999801;0.9699999999998
"6598940";1;2;0.0511810770987343;0.103715439799838;0.00402056725878227;0.0634079431836601;0.509745208919048;0.124391445126323;0.669999999999845;0;0.980000000000018
"6598940";1;3;0.0527194771072484;0.106627413666178;0.00406039325073816;0.0637212150758141;0.509745208919048;0.125006010769458;0.659999999999855;0.0399999999999991;1.01999999999998
"6598940";1;4;0.0512162613629661;0.103919051075526;0.00387286055277576;0.0622323111637015;0.509745208919048;0.122085132091128;0.650000000000091;0.0399999999999991;1.04999999999973
"6598940";1;5;0.050328906583309;0.102463680024157;0.00380442057696525;0.0616799852218307;0.509745208919048;0.121001598725425;0.630000000000109;0.0200000000000031;1.05999999999995
"6598940";1;6;0.0522350336736168;0.105773755445121;0.00389390287918248;0.0624011448547419;0.509745208919048;0.12241634401443;0.580000000000155;0.0499999999999972;1.05000000000018
"6598940";1;7;0.0514663120730152;0.104357190496469;0.00381538446187174;0.0617687984493121;0.509745208919048;0.121175829352663;0.6099999999999;0;1.07999999999993
"6598940";1;8;0.0512827233448992;0.104437278616648;0.00384565712278063;0.0620133624534312;0.509745208919048;0.121655606307581;0.690000000000055;0;1.10000000000036
"6598940";1;9;0.0510959263700183;0.103599274678887;0.00389932739164848;0.062444594575099;0.509745208919048;0.122501582128682;0.580000000000155;0;1.09000000000015
"6598940";1;10;0.0543715293004371;0.109784509259966;0.00418070356368027;0.064658360354097;0.509745208919048;0.1268444690068;0.620000000000118;0.00999999999999801;1.11000000000013
"6598940";1;11;0.0599125367615289;0.121152727085015;0.00462074864673336;0.0679760887866709;0.509745208919048;0.133353070509126;0.620000000000118;0.0200000000000031;1.15000000000009
"6598940";1;12;0.0580414718323762;0.115719581684274;0.00465810358533021;0.0682503009907664;0.509745208919048;0.133891010247053;0.660000000000082;0.0300000000000011;1.17999999999984
"6598940";1;13;0.0582352095648914;0.116500920095674;0.00455405217074607;0.0674837178195309;0.509745208919048;0.132387154677991;0.639999999999873;0;1.19999999999982
"6598940";1;14;0.0571007564522773;0.114399629703189;0.00447523496046777;0.066897196955237;0.509745208919048;0.131236538931082;0.639999999999873;0.00999999999999801;1.17000000000007
