"fecha","tmed","hrmed","NDVI_mean_6490927","Anomaly_6490927","NDVI_mean_6431327","Anomaly_6431327","NDVI_mean_6444852","Anomaly_6444852","NDVI_mean_6462152","Anomaly_6462152","NDVI_mean_6617939","Anomaly_6617939","NDVI_mean_6619213","Anomaly_6619213","NDVI_mean_6402165","Anomaly_6402165","NDVI_mean_6402166","Anomaly_6402166","NDVI_mean_6402168","Anomaly_6402168","NDVI_mean_6402171","Anomaly_6402171","NDVI_mean_6402172","Anomaly_6402172","NDVI_mean_6402214","Anomaly_6402214","NDVI_mean_6482477","Anomaly_6482477","NDVI_mean_6524125","Anomaly_6524125","NDVI_mean_6400989","Anomaly_6400989","NDVI_mean_6400993","Anomaly_6400993","NDVI_mean_6400994","Anomaly_6400994","NDVI_mean_6400997","Anomaly_6400997","NDVI_mean_6401005","Anomaly_6401005","NDVI_mean_6466802","Anomaly_6466802","NDVI_mean_6496354","Anomaly_6496354","NDVI_mean_6525295","Anomaly_6525295","NDVI_mean_6401855","Anomaly_6401855","anomaliesAgg","anomaliesAgg2"
2018-05-31,21.4166666666667,54.8208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19808404147625,0,NA,NA,NA,NA,0,0
2018-06-05,21.6083333333333,54.0833333333333,NA,NA,0.0213550222106278,1,NA,NA,0.02502900082618,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869565217391304,1
2018-06-10,22.6583333333333,58.1166666666667,NA,NA,0.314910978078842,0,NA,NA,0.214495070278645,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434782608695652,0.5
2018-06-15,22.5875,58.5625,NA,NA,0.440189726650715,0,NA,NA,0.301161706447601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331629061698914,0,NA,NA,0.478263517220815,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18774102255702,0,NA,NA,NA,NA,0,0
2018-06-20,23.1916666666667,57.1,NA,NA,0.45035270601511,0,NA,NA,0.289510637521744,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305818835645914,0,NA,NA,0.445269224544366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210793912410736,0,NA,NA,NA,NA,0,0
2018-06-25,24.85,58.7166666666667,NA,NA,0.353079617023468,0,NA,NA,0.227577105164528,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232678607106209,1,NA,NA,0.366090930998325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149361416697502,0,NA,NA,NA,NA,0.0434782608695652,0.2
2018-06-30,25.35,65.6083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163465932011604,0,NA,NA,NA,NA,0,0
2018-07-05,27.7375,32.0833333333333,NA,NA,0.472854904830456,1,NA,NA,0.281501568853855,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301759354770184,0,NA,NA,0.486667613188426,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208227425813675,0,NA,NA,NA,NA,0.0434782608695652,0.2
2018-07-10,26.2625,55.0041666666667,NA,NA,0.450070448219776,0,NA,NA,0.325350120663643,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265503540635109,0,NA,NA,0.458739633361499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252924017608166,0,NA,NA,NA,NA,0,0
2018-07-15,27.0916666666667,51.425,NA,NA,0.329001918435097,0,NA,NA,0.203835915774107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201552676409483,1,NA,NA,0.339282194773356,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148305371403694,0,NA,NA,NA,NA,0.130434782608696,0.6
