"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.NA.n_TotalD";"NDVI.NA.n_TotalNA";"NDVI.NA.n_MaxNA";"NDVI.NA.Mean_Min";"NDVI.NA.Mean_Mean";"NDVI.NA.Mean_Max";"NDVI.NA.Mean_TotalNoNA";"NDVI.NA.Mean_TotalNA"
"6474329";2017-10-03;2022-02-09;1;16;1;-0.0376695757731795;0.170772447415085;0.345691412687302;258;16
"6475894";2017-10-03;2022-02-09;1;16;1;-0.0362913850694895;0.37508622848843;0.702183023095131;258;16
"6476819";2017-10-03;2022-02-09;1;16;1;-0.0416848383843899;0.273423780388128;0.707690560817719;258;16
"6477901";2017-10-03;2022-02-09;1;16;1;-0.0403225587473975;0.407062431623238;0.761447939607832;258;16
"6478559";2017-10-03;2022-02-09;1;16;1;-0.0518098331987858;0.337324260460762;0.629185736179352;258;16
"6481231";2017-10-03;2022-02-09;1;16;1;-0.0418856476899236;0.340554397999746;0.698309578001499;258;16
"6482295";2017-10-03;2022-02-09;1;16;1;-0.0285958182066679;0.117463508134666;0.26172399520874;258;16
"6483443";2017-10-03;2022-02-09;1;13;1;-0.0400615298810104;0.272415632554479;0.520442007730405;261;13
"6484593";2017-10-03;2022-02-09;1;13;1;-0.031010027974844;0.202415233675165;0.436383241415024;261;13
"6489824";2017-10-03;2022-02-09;1;13;1;-0.0498178887223317;0.127138463741043;0.239668903025714;261;13
"6491890";2017-10-03;2022-02-09;1;16;1;-0.13570112735033;0.216112895988443;0.481329262256622;258;16
"6495095";2017-10-03;2022-02-09;1;16;1;-0.0316240781297286;0.273623684754485;0.498094568649928;258;16
"6496232";2017-10-03;2022-02-09;1;16;1;-0.0373271256685257;0.247372370455125;0.494782189528147;258;16
"6496354";2017-10-03;2022-02-09;1;13;1;-0.0303571419790387;0.157714662099125;0.356113240122795;261;13
"6500330";2017-10-03;2022-02-09;1;16;1;-0.0479376781731844;0.246868915383399;0.622338205575943;258;16
"6501672";2017-10-03;2022-02-09;1;13;1;-0.0305473040789366;0.15592375959178;0.401123168567816;261;13
"6502323";2017-10-03;2022-02-09;1;16;1;-0.0490606781095266;0.240521545723442;0.4279560521245;258;16
"6502668";2017-10-03;2022-02-09;1;16;1;-0.0411421217556511;0.239110831392317;0.495650121143886;258;16
"6503842";2017-10-03;2022-02-09;1;13;1;-0.0331524931825697;0.125899946610875;0.312947310507298;261;13
"6504565";2017-10-03;2022-02-09;1;16;1;-0.0415521245449781;0.29262277122545;0.645942807197571;258;16
"6505874";2017-10-03;2022-02-09;1;16;1;-0.0368057880550623;0.378403603124104;0.775845557451248;258;16
"6506989";2017-10-03;2022-02-09;1;13;1;-0.0321927325800061;0.132655457766919;0.243252212554216;261;13
"6506990";2017-10-03;2022-02-09;1;13;1;-0.0448005360861619;0.170460875461096;0.35412476835852;261;13
"6507780";2017-10-03;2022-02-09;1;16;1;-0.0410931827218244;0.217789309850567;0.400232279616775;258;16
"6507785";2017-10-03;2022-02-09;1;16;1;-0.0452150088899276;0.386853593312855;0.687663067789639;258;16
"6510170";2017-10-03;2022-02-09;1;16;1;-0.0276489034295082;0.26401478985263;0.507505416870117;258;16
"6513888";2017-10-03;2022-02-09;1;13;1;-0.0424800161272287;0.172742479231804;0.468335315585136;261;13
"6515860";2017-10-03;2022-02-09;1;16;1;-0.0366608459088537;0.407479181149112;0.796066231197781;258;16
"6515865";2017-10-03;2022-02-09;1;16;1;-0.0338184479624033;0.306202364009957;0.562134727835655;258;16
"6523676";2017-10-03;2022-02-09;2;16;1;-0.0505189187824726;0.183790192317629;0.385608479380608;257;17
"6524125";2017-10-03;2022-02-09;1;13;1;-0.0313503431389108;0.337487438780557;0.634364138357341;261;13
"6525295";2017-10-03;2022-02-09;1;13;1;-0.0362068954855204;0.172899434384685;0.362241685390472;261;13
"6525876";2017-10-03;2022-02-09;1;16;1;-0.0394337680190802;0.250922617342552;0.517580995957057;258;16
"6526963";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6528098";2017-10-03;2022-02-09;1;16;1;-0.0412613152173059;0.301685813787119;0.514551542956254;258;16
"6530198";2017-10-03;2022-02-09;1;16;1;-0.0735078246465751;0.345453371031737;0.63447859457561;258;16
"6533395";2017-10-03;2022-02-09;1;16;1;-0.0365865424275398;0.307016198543295;0.552646988630295;258;16
"6536623";2017-10-03;2022-02-09;1;16;1;-0.0523958998647603;0.24582793637574;0.493593600663272;258;16
"6537194";2017-10-03;2022-02-09;1;16;1;-0.0323331163575252;0.197038211612982;0.423715780178706;258;16
"6543897";2017-10-03;2022-02-09;1;16;1;-0.0381305674090982;0.192209163413944;0.458995722234249;258;16
"6544813";2017-10-03;2022-02-09;1;16;1;-0.0426700450479984;0.318248304207232;0.688413977622986;258;16
"6547404";2017-10-03;2022-02-09;1;16;1;-0.0578122850507498;0.291755643112338;0.528210289776325;258;16
"6548037";2017-10-03;2022-02-09;1;16;1;-0.060258528838555;0.309998693370222;0.575970868269602;258;16
"6548038";2017-10-03;2022-02-09;1;16;1;-0.0449413377940655;0.209557139009878;0.388373312830925;258;16
"6551656";2017-10-03;2022-02-09;1;16;1;-0.039645224576816;0.211625986507213;0.936478540301323;258;16
"6552773";2017-10-03;2022-02-09;1;16;1;-0.0295784972341997;0.381523537004545;0.977363697120122;258;16
"6558924";2017-10-03;2022-02-09;1;16;1;-0.0367738841134205;0.1332742715356;0.212620644977218;258;16
"6559630";2017-10-03;2022-02-09;1;16;1;-0.0339370851404965;0.29889391426052;0.563768198341131;258;16
"6560222";2017-10-03;2022-02-09;1;16;1;-0.0410638990998268;0.392587372791603;0.698696736097336;258;16
"6560231";2017-10-03;2022-02-09;1;16;1;-0.175375606864691;0.0765065318157368;0.193446837365627;258;16
"6564834";2017-10-03;2022-02-09;1;16;1;-0.0629175336410602;0.14595773955777;0.302068958679835;258;16
"6566294";2017-10-03;2022-02-09;1;16;1;-0.0442594968092938;0.139606314278325;0.455400792260965;258;16
"6566575";2017-10-03;2022-02-09;1;16;1;-0.0408645783318207;0.368852016428458;0.607199124991894;258;16
"6568029";2017-10-03;2022-02-09;1;16;1;-0.0287206266075373;0.181410017439773;0.419127613306046;258;16
"6587228";2017-10-03;2022-02-09;1;16;1;-0.0365659270493779;0.434347705364972;0.817471438646317;258;16
"6587395";2017-10-03;2022-02-09;1;13;1;-0.0248235906011881;0.216379763949853;0.400240094207114;261;13
"6595270";2017-10-03;2022-02-09;1;16;1;-0.0335358362644911;0.206697029352842;0.522047281265259;258;16
"6596867";2017-10-03;2022-02-09;1;16;1;-0.0356003485620022;0.432625750392042;0.728797972202301;258;16
"6598500";2017-10-03;2022-02-09;1;16;1;-0.0395701881498098;0.156819682964316;0.314162828028202;258;16
"6598803";2017-10-03;2022-02-09;1;16;1;-0.0400520768016577;0.319528447262863;0.703256994485855;258;16
"6598925";2017-10-03;2022-02-09;1;16;1;-0.0357163891728435;0.27016358792337;0.535470485687256;258;16
"6598940";2017-10-03;2022-02-09;1;16;1;-0.033075780980289;0.322776649357102;0.563417994976044;258;16
"6605391";2017-10-03;2022-02-09;1;16;1;-0.0297248400747776;0.255382072525845;0.576357036828995;258;16
"6605396";2017-10-03;2022-02-09;1;16;1;-0.027952960363644;0.182004597264332;0.344533766017241;258;16
"6606317";2017-10-03;2022-02-09;1;16;1;-0.0422065032666529;0.0879689707475457;0.171823267753308;258;16
"6606724";2017-10-03;2022-02-09;1;13;1;-0.0314330440145773;0.157470103716279;0.403041725427332;261;13
"6611136";2017-10-03;2022-02-09;1;16;1;-0.0315357845587035;0.403136629702363;0.720384160677592;258;16
"6617012";2017-10-03;2022-02-09;1;16;1;-0.0443263785647495;0.264473220774849;0.513277522155217;258;16
"6617017";2017-10-03;2022-02-09;1;16;1;-0.0404043304733932;0.384763688456672;0.627064762637019;258;16
"6617582";2017-10-03;2022-02-09;1;13;1;-0.0252653306121366;0.284148904007452;0.542299240566137;261;13
"6617583";2017-10-03;2022-02-09;1;13;1;-0.0234289765357971;0.31579004209761;0.597380234135522;261;13
"6619213";2017-10-03;2022-02-09;1;13;1;-0.0326691810041666;0.241241829957164;0.521250255405903;261;13
"6619762";2017-10-03;2022-02-09;1;16;1;-0.0360078963140647;0.195256582932541;0.354800607760747;258;16
"6620509";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6620670";2017-10-03;2022-02-09;1;16;1;-0.0376068598901232;0.1722640754581;0.350894468526046;258;16
"6620685";2017-10-03;2022-02-09;1;16;1;-0.0470530633279618;0.272243769359984;0.491172859326322;258;16
"6621311";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6626209";2017-10-03;2022-02-09;1;16;1;-0.0355008134733787;0.255928436689306;0.429337772977563;258;16
"6629187";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6630537";2017-10-03;2022-02-09;1;16;1;-0.0340975758412646;0.408805577029279;0.877913891441292;258;16
"6632651";2017-10-03;2022-02-09;1;16;1;-0.0638297870755196;0.317063041964488;0.798266649246216;258;16
"6635588";2017-10-03;2022-02-09;1;16;1;-0.0401194992563909;0.388476233826797;0.658748541825584;258;16
"6635590";2017-10-03;2022-02-09;1;16;1;-0.0381017006933689;0.292791197043963;0.60411331653595;258;16
"6636324";2017-10-03;2022-02-09;1;16;1;-0.0383346330906664;0.316331770743531;0.524457788893155;258;16
"6636326";2017-10-03;2022-02-09;1;16;1;-0.0322980648998321;0.317582019702621;0.581996786411538;258;16
"6647357";2017-10-03;2022-02-09;1;16;1;-0.0361204560061819;0.203708929625084;0.389616810961774;258;16
